IPSK_Name,Passphrase,Group Policy
Student1,a0wTfbRhk5,Student
Student2,yi2iuU0WYF,Student
Student3,BI2cgBGPMi,Student
Student4,S6MAQgO28w,Student
Student5,qclKfvVa2F,Student
Student6,t3mBOO45sO,Teacher
Student7,bZ24kM9GsC,Student
Student8,Dz5pkBAfEm,Student
Student9,Br4IsKmtmJ,Student
Student10,Szn6Jtoe9i,Student
Student11,mfYIguiwp9,Student
Student12,Jk7a8O8o6q,Student
Student13,hhmXqnkgSV,Student
Student14,VWSLTkl5DX,Student
Student15,7xlCv1V315,Student
Student16,RTjKkF2sd0,Student
Student17,wzstahGqRd,Student
Student18,1LNHEayLLs,Student
Student19,ym5k2fiSTn,Student
Student20,CzyLGlclyY,Student
Student21,azHHsBwbum,Student
Student22,yNpJH8p8Vi,Student
Student23,t9FJikHvS3,Student
Student24,SvMx4z6PW3,Student
Student25,MNCJQy4BCr,Student
Student26,FausmruCfJ,Teacher
Student27,RMSi5CyzSZ,Teacher
Student28,x3NNtlRWfv,Teacher
Student29,xIPsEihHmU,Teacher
Student30,GUUAAMxG2U,Teacher
